Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],kdiff[%],Bleak[uT],V_PriWind[cm3],V_PriCore[cm3],Pout[W]
10,10,400,10,10,10,100,6.551478722,2.9,38.16,800,50.31296542
10,20,400,10,10,10,100,6.551478722,5.5,38.16,800,100.6259308
10,40,400,10,10,10,100,6.551478722,10.7,38.16,800,201.2518617
20,10,400,10,10,10,100,6.551478722,3.2,38.16,800,50.31296542
20,20,400,10,10,10,100,6.551478722,5.8,38.16,800,100.6259308
20,40,400,10,10,10,100,6.551478722,11,38.16,800,201.2518617
40,10,400,10,10,10,100,6.551478722,3.8,38.16,800,50.31296542
40,20,400,10,10,10,100,6.551478722,6.4,38.16,800,100.6259308
40,40,400,10,10,10,100,6.551478722,11.6,38.16,800,201.2518617
10,10,700,10,10,10,100,8.67197967,7.2,38.16,2450,59.79784137
10,20,700,10,10,10,100,8.67197967,13.6,38.16,2450,119.5956827
10,40,700,10,10,10,100,8.67197967,4.8,38.16,2450,239.1913655
20,10,700,10,10,10,100,8.67197967,8,38.16,2450,59.79784137
20,20,700,10,10,10,100,8.67197967,14.4,38.16,2450,119.5956827
20,40,700,10,10,10,100,8.67197967,3.6,38.16,2450,239.1913655
40,10,700,10,10,10,100,8.67197967,6.8,38.16,2450,59.79784137
40,20,700,10,10,10,100,8.67197967,13.2,38.16,2450,119.5956827
40,40,700,10,10,10,100,8.67197967,4,38.16,2450,239.1913655
10,10,1000,10,10,10,100,8.145367615,16.4,38.16,5000,62.79722385
10,20,1000,10,10,10,100,8.145367615,4.1,38.16,5000,125.5944477
10,40,1000,10,10,10,100,8.145367615,7.8,38.16,5000,251.1888954
20,10,1000,10,10,10,100,8.145367615,15.2,38.16,5000,62.79722385
20,20,1000,10,10,10,100,8.145367615,4.5,38.16,5000,125.5944477
20,40,1000,10,10,10,100,8.145367615,8.2,38.16,5000,251.1888954
40,10,1000,10,10,10,100,8.145367615,15.6,38.16,5000,62.79722385
40,20,1000,10,10,10,100,8.145367615,5.3,38.16,5000,125.5944477
40,40,1000,10,10,10,100,8.145367615,9,38.16,5000,251.1888954
10,10,1300,10,10,10,100,7.938075768,8.3,38.16,8450,63.82046732
10,20,1300,10,10,10,100,7.938075768,15,38.16,8450,127.6409346
10,40,1300,10,10,10,100,7.938075768,28.4,38.16,8450,255.2818693
20,10,1300,10,10,10,100,7.938075768,9.9,38.16,8450,63.82046732
20,20,1300,10,10,10,100,7.938075768,16.6,38.16,8450,127.6409346
20,40,1300,10,10,10,100,7.938075768,30,38.16,8450,255.2818693
40,10,1300,10,10,10,100,7.938075768,7.5,38.16,8450,63.82046732
40,20,1300,10,10,10,100,7.938075768,14.2,38.16,8450,127.6409346
40,40,1300,10,10,10,100,7.938075768,27.6,38.16,8450,255.2818693
10,10,400,10,10,40,100,8.688694299,7.4,44.64,800,83.6945018
