idx,Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],kdiff[%],Bleak[uT],V_PriWind[cm3],V_PriCore[cm3],Pout[W]
0,10,10,400,10,10,10,100,6.551478722,2.9,38.16,800,50.31296542
1,10,40,400,10,10,10,100,6.551478722,10.7,38.16,800,201.2518617
2,40,10,400,10,10,10,100,6.551478722,3.8,38.16,800,50.31296542
3,40,40,400,10,10,10,100,6.551478722,11.6,38.16,800,201.2518617
4,10,10,700,10,10,10,100,8.67197967,3.6,38.16,2450,59.79784137
5,10,40,700,10,10,10,100,8.67197967,13.2,38.16,2450,239.1913655
6,40,10,700,10,10,10,100,8.67197967,4.8,38.16,2450,59.79784137
7,40,40,700,10,10,10,100,8.67197967,14.4,38.16,2450,239.1913655
8,10,10,1000,10,10,10,100,8.145367615,4.1,38.16,5000,62.79722385
9,10,40,1000,10,10,10,100,8.145367615,15.2,38.16,5000,251.1888954
10,40,10,1000,10,10,10,100,8.145367615,5.3,38.16,5000,62.79722385
11,40,40,1000,10,10,10,100,8.145367615,16.4,38.16,5000,251.1888954
12,10,10,1300,10,10,10,100,7.938075768,7.5,38.16,8450,63.82046732
13,10,40,1300,10,10,10,100,7.938075768,27.6,38.16,8450,255.2818693
14,40,10,1300,10,10,10,100,7.938075768,9.9,38.16,8450,63.82046732
15,40,40,1300,10,10,10,100,7.938075768,30,38.16,8450,255.2818693
16,10,10,400,10,10,40,100,8.688694299,3.2,44.64,800,83.6945018
17,10,40,400,10,10,40,100,8.688694299,11.3,44.64,800,334.7780072
18,40,10,400,10,10,40,100,8.688694299,4.7,44.64,800,83.6945018
19,40,40,400,10,10,40,100,8.688694299,12.8,44.64,800,334.7780072
20,10,10,700,10,10,40,100,10.4929634,3.8,44.64,2450,100.944066
21,10,40,700,10,10,40,100,10.4929634,13.4,44.64,2450,403.7762638
22,40,10,700,10,10,40,100,10.4929634,5.6,44.64,2450,100.944066
23,40,40,700,10,10,40,100,10.4929634,15.2,44.64,2450,403.7762638
24,10,10,1000,10,10,40,100,9.931807381,4.4,44.64,5000,106.3512566
25,10,40,1000,10,10,40,100,9.931807381,15.5,44.64,5000,425.4050264
26,40,10,1000,10,10,40,100,9.931807381,6.5,44.64,5000,106.3512566
27,40,40,1000,10,10,40,100,9.931807381,17.6,44.64,5000,425.4050264
28,10,10,1300,10,10,40,100,9.586552801,8.7,44.64,8450,107.8299399
29,10,40,1300,10,10,40,100,9.586552801,31.2,44.64,8450,431.3197596
30,40,10,1300,10,10,40,100,9.586552801,12.3,44.64,8450,107.8299399
31,40,40,1300,10,10,40,100,9.586552801,34.8,44.64,8450,431.3197596
32,10,10,400,10,40,10,100,8.080175088,3.2,42.48,800,73.58624393
33,10,40,400,10,40,10,100,8.080175088,11.3,42.48,800,294.3449757
34,40,10,400,10,40,10,100,8.080175088,4.7,42.48,800,73.58624393
35,40,40,400,10,40,10,100,8.080175088,12.8,42.48,800,294.3449757
36,10,10,700,10,40,10,100,10.05895463,3.9,42.48,2450,88.2909128
37,10,40,700,10,40,10,100,10.05895463,14.1,42.48,2450,353.1636512
38,40,10,700,10,40,10,100,10.05895463,5.4,42.48,2450,88.2909128
39,40,40,700,10,40,10,100,10.05895463,15.6,42.48,2450,353.1636512
40,10,10,1000,10,40,10,100,9.608280972,4.3,42.48,5000,93.28722929
41,10,40,1000,10,40,10,100,9.608280972,15.4,42.48,5000,373.1489172
42,40,10,1000,10,40,10,100,9.608280972,6.1,42.48,5000,93.28722929
