x0=0mm,Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],k,L1[nH],L2[nH],Bleak [T],PrimaryWinding[m3],PrimaryWinding[cm3],PrimaryCore[m3],PrimaryCore[cm3],x0=100mm,Iin[A],Iout[A],l[mm],p1[mm],p2[mm],p3[mm],win[mm],k,L1[nH],L2[nH],Bleak[T],PrimaryWinding[m3],PrimaryWinding[cm3],PrimaryCore[m3],PrimaryCore[cm3],w[rad/s],kdiff[%],P_0mm[W],P_100mm[W],Pout[W],Bleak[uT]
42,13.51550007,35.5038414,1047.998657,24.09251022,76.09284973,21.97911644,533.7177734,0.271411767,42496.23392,30806.78856,1.30E-05,0.000106764,1.07E+02,0.005491506,5491.505925,42,13.51550007,35.5038414,1047.998657,24.09251022,76.09284973,21.97911644,533.7177734,0.253729491,42911.97696,30789.7555,1.98E-05,0.000106764,1.07E+02,0.005491506,5491.505925,534070.7511,6.514926015,2516.711111,2363.576091,2363.576091,198.42784274
73,15.74937725,33.66652679,1060.522949,70.01101685,76.09474945,18.42951012,534.9243164,0.252098958,43580.71,30903.23933,1.60E-05,0.00011609,1.16E+02,0.005623545,5623.544627,73,15.74937725,33.66652679,1060.522949,70.01101685,76.09474945,18.42951012,534.9243164,0.239939346,43962.50178,30878.05779,2.51E-05,0.00011609,1.16E+02,0.005623545,5623.544627,534070.7511,4.823348959,2619.875776,2503.387922,2503.387922,250.96796919
45,16.29273224,26.92070007,893.0905762,20.24124718,75.58065796,45.01406479,516.4727783,0.26128137,38927.52692,30694.62044,1.23E-05,0.000108351,1.08E+02,0.003988054,3988.053886,45,16.29273224,26.92070007,893.0905762,20.24124718,75.58065796,45.01406479,516.4727783,0.244470122,39207.25003,30657.08595,1.81E-05,0.000108351,1.08E+02,0.003988054,3988.053886,534070.7511,6.434154737,2115.665715,1985.424972,1985.424972,180.75780672
33,17.03390503,16.81385994,1063.61792,70.01373291,75.40974426,18.88986015,383.1984863,0.307588117,33079.69696,30902.09533,9.61E-06,9.42E-05,9.42E+01,0.005656415,5656.415399,33,17.03390503,16.81385994,1063.61792,70.01373291,75.40974426,18.88986015,383.1984863,0.277662459,33438.59084,30890.24684,1.55E-05,9.42E-05,9.42E+01,0.005656415,5656.415399,534070.7511,9.729133303,1504.266278,1364.998832,1364.998832,154.89812823
2,17.04876518,14.80843639,1063.463623,69.97364807,69.86198425,18.39969254,154.8830566,0.282121351,16893.34842,30748.99043,5.40E-06,6.05E-05,6.05E+01,0.005654774,5654.774387,2,17.04876518,14.80843639,1063.463623,69.97364807,69.86198425,18.39969254,154.8830566,0.24784539,17005.15583,30754.85236,7.78E-06,6.05E-05,6.05E+01,0.005654774,5654.774387,534070.7511,12.14936788,866.9822027,764.2384856,764.2384856,77.84853661
62,17.10785294,27.93285751,1058.534912,29.49995041,76.04650879,63.64575577,538.0582275,0.248604524,42708.99985,30909.09116,1.61E-05,0.000117551,1.18E+02,0.005602481,5602.4808,62,17.10785294,27.93285751,1058.534912,29.49995041,76.04650879,63.64575577,538.0582275,0.23850606,42991.2978,30906.78275,2.67E-05,0.000117551,1.18E+02,0.005602481,5602.4808,534070.7511,4.062059288,2305.268487,2218.841422,2218.841422,266.70070691
49,17.16573334,27.53157234,1047.563232,47.2894783,66.06729889,25.56554985,506.8319092,0.276030699,40658.81663,30865.71668,1.36E-05,0.000107234,1.07E+02,0.005486944,5486.943625,49,17.16573334,27.53157234,1047.563232,47.2894783,66.06729889,25.56554985,506.8319092,0.258049817,41044.29439,30847.72955,2.13E-05,0.000107234,1.07E+02,0.005486944,5486.943625,534070.7511,6.51408782,2468.11338,2317.574618,2317.574618,213.28434005
26,17.55050659,18.04989243,1046.788086,28.42068481,75.96309662,19.90264702,469.2941589,0.295916645,37485.97935,30870.10581,1.08E-05,9.80E-05,9.80E+01,0.005478826,5478.826485,26,17.55050659,18.04989243,1046.788086,28.42068481,75.96309662,19.90264702,469.2941589,0.269788228,37916.42758,30834.78777,1.67E-05,9.80E-05,9.80E+01,0.005478826,5478.826485,534070.7511,8.829654452,1703.083545,1560.702952,1560.702952,166.67070888
75,17.9700737,33.02707672,1055.641724,59.85799789,75.99092102,41.84635162,527.338501,0.251632141,41997.08679,30918.92641,1.73E-05,0.000117848,1.18E+02,0.005571897,5571.897247,75,17.9700737,33.02707672,1055.641724,59.85799789,75.99092102,41.84635162,527.338501,0.240720259,42234.94188,30896.55747,2.83E-05,0.000117848,1.18E+02,0.005571897,5571.897247,534070.7511,4.336442064,2874.131845,2756.274244,2756.274244,282.67974283
54,18.1019001,22.33038139,1055.960693,72.33808899,59.69665146,43.86781693,445.9994507,0.283652008,37506.91389,30919.78294,1.33E-05,0.000106921,1.07E+02,0.005575265,5575.264926,54,18.1019001,22.33038139,1055.960693,72.33808899,59.69665146,43.86781693,445.9994507,0.264444268,37855.60617,30903.70077,2.16E-05,0.000106921,1.07E+02,0.005575265,5575.264926,534070.7511,6.771585829,2085.349462,1952.646398,1952.646398,215.57036851
25,20.14050293,28.59159851,852.2092285,33.69221878,58.16033173,33.49537277,460.2750244,0.288070538,35550.1156,30595.56335,1.21E-05,9.82E-05,9.82E+01,0.003631303,3631.302846,25,20.14050293,28.59159851,852.2092285,33.69221878,58.16033173,33.49537277,460.2750244,0.261323778,35935.30085,30557.68696,1.75E-05,9.82E-05,9.82E+01,0.003631303,3631.302846,534070.7511,9.284795411,2921.837924,2663.221889,2663.221889,175.07383831
44,21.19364738,25.61146545,981.5952759,55.11324692,70.03195953,46.25870132,416.2625122,0.29368783,34405.39103,30830.48754,1.33E-05,0.000100923,1.01E+02,0.004817646,4817.646428,44,21.19364738,25.61146545,981.5952759,55.11324692,70.03195953,46.25870132,416.2625122,0.270180005,34737.55926,30799.3742,2.12E-05,0.000100923,1.01E+02,0.004817646,4817.646428,534070.7511,8.004358094,2772.862428,2561.903272,2561.903272,211.52215012
47,21.57528305,35.02800751,1039.260254,18.21186638,75.75833893,50.40712738,520.6605835,0.265854562,41489.6081,30851.58795,1.77E-05,0.000109706,1.10E+02,0.005400309,5400.309378,47,21.57528305,35.02800751,1039.260254,18.21186638,75.75833893,50.40712738,520.6605835,0.250946495,41833.30428,30830.27391,2.79E-05,0.000109706,1.10E+02,0.005400309,5400.309378,534070.7511,5.607602187,3839.04563,3637.488604,3637.488604,279.26455909
41,22.01938629,22.00910759,1052.051147,61.39509583,69.56829834,43.72716904,389.5700073,0.30346711,33231.67773,30906.60085,1.33E-05,9.78E-05,9.78E+01,0.005534058,5534.05808,41,22.01938629,22.00910759,1052.051147,61.39509583,69.56829834,43.72716904,389.5700073,0.277714838,33558.13156,30884.86618,2.08E-05,9.78E-05,9.78E+01,0.005534058,5534.05808,534070.7511,8.486017334,2517.212165,2314.074149,2314.074149,207.59344329
28,22.60423279,31.86070824,1029.095947,46.07730865,64.69474792,41.50069046,413.7098083,0.303236571,34233.51739,30831.02387,1.43E-05,9.68E-05,9.68E+01,0.005295192,5295.192341,28,22.60423279,31.86070824,1029.095947,46.07730865,64.69474792,41.50069046,413.7098083,0.276685284,34572.31674,30818.73729,2.23E-05,9.68E-05,9.68E+01,0.005295192,5295.192341,534070.7511,8.755964755,3789.180588,3473.775226,3473.775226,223.23322204
34,22.91506386,29.60227394,1027.389404,62.01317596,62.20927811,48.42322159,380.8615723,0.304608261,32814.55303,30848.734,1.42E-05,9.67E-05,9.67E+01,0.005277645,5277.644937,34,22.91506386,29.60227394,1027.389404,62.01317596,62.20927811,48.42322159,380.8615723,0.278205507,33147.50301,30828.14282,2.26E-05,9.67E-05,9.67E+01,0.005277645,5277.644937,534070.7511,8.667773472,3511.062307,3221.882907,3221.882907,226.05549294
37,23.19336319,35.06311035,1062.499756,23.36757469,76.08966827,19.69507217,529.3690796,0.275320636,42057.45682,30855.65226,1.77E-05,0.000105488,1.05E+02,0.005644529,5644.528658,37,23.19336319,35.06311035,1062.499756,23.36757469,76.08966827,19.69507217,529.3690796,0.256466594,42501.92741,30843.98855,2.80E-05,0.000105488,1.05E+02,0.005644529,5644.528658,534070.7511,6.848030833,4307.651845,4033.047574,4033.047574,279.52538218
9,23.83532715,24.27942276,815.9213867,43.62182999,50.7147522,45.4634552,330.3573303,0.310909769,27612.60718,30508.23681,9.85E-06,8.31E-05,8.31E+01,0.003328639,3328.638546,9,23.83532715,24.27942276,815.9213867,43.62182999,50.7147522,45.4634552,330.3573303,0.272995232,27933.84208,30464.47889,1.44E-05,8.31E-05,8.31E+01,0.003328639,3328.638546,534070.7511,12.19470778,2789.041002,2461.362295,2461.362295,143.86942758
13,23.98434067,25.98295975,938.12677,41.76106644,63.40442657,47.10499573,335.3068542,0.314303303,28547.96154,30706.23902,1.11E-05,8.56E-05,8.56E+01,0.004400409,4400.409183,13,23.98434067,25.98295975,938.12677,41.76106644,63.40442657,47.10499573,335.3068542,0.280339169,28854.12135,30681.21795,1.64E-05,8.56E-05,8.56E+01,0.004400409,4400.409183,534070.7511,10.80616505,3097.169747,2776.126206,2776.126206,164.45068467
