training_mean_discriminator_real_bce_loss,training_mean_discriminator_generated_bce_loss,training_mean_generator_bce_loss,testing_mean_discriminator_bce_loss,testing_mean_generator_bce_loss,num_discriminator_training_samples,num_generator_training_samples,num_discriminator_training_paused,num_generator_training_paused
tensor(1.5127),tensor(0.5391),tensor(1.5145),tensor(1.0579),tensor(1.7696),1024,4745,1024,4745
tensor(1.4425),tensor(1.9118),tensor(1.4392),tensor(1.9471),tensor(3.2987),2816,3401,2816,3401
tensor(1.6908),tensor(1.2718),tensor(1.6930),tensor(1.2361),tensor(1.9027),1088,4745,1088,4745
tensor(1.3215),tensor(0.8405),tensor(1.3199),tensor(0.9507),tensor(1.5739),1088,4745,1088,4745
tensor(1.0918),tensor(0.8198),tensor(1.0925),tensor(0.8438),tensor(1.3157),1216,4681,1216,4681
tensor(1.0150),tensor(0.7823),tensor(1.0147),tensor(0.8130),tensor(1.2808),1472,4489,1472,4489
tensor(0.8462),tensor(0.8772),tensor(0.8461),tensor(0.7599),tensor(1.1199),1856,4105,1856,4105
tensor(0.5891),tensor(1.1985),tensor(0.5902),tensor(1.0157),tensor(0.2011),3913,3072,3913,3072
tensor(0.5735),tensor(1.0577),tensor(0.5707),tensor(0.8996),tensor(1.3048),4288,3081,4288,3081
tensor(0.7685),tensor(2.0010),tensor(0.7667),tensor(1.4700),tensor(0.6627),3593,2944,3593,2944
tensor(1.2129),tensor(1.2961),tensor(1.2131),tensor(1.7069),tensor(2.8678),3520,3273,3520,3273
tensor(1.6047),tensor(1.4486),tensor(1.6061),tensor(1.3866),tensor(2.3710),1920,3977,1920,3977
tensor(1.6306),tensor(0.9383),tensor(1.6298),tensor(1.1231),tensor(1.8377),1024,4745,1024,4745
tensor(1.2442),tensor(0.7189),tensor(1.2413),tensor(0.8942),tensor(1.4506),1024,4745,1024,4745
tensor(1.0261),tensor(0.7984),tensor(1.0306),tensor(0.8220),tensor(1.2107),1152,4681,1152,4681
tensor(0.9851),tensor(0.7488),tensor(0.9833),tensor(0.7940),tensor(1.2078),1344,4553,1344,4553
tensor(0.8884),tensor(0.8135),tensor(0.8883),tensor(0.7673),tensor(1.1514),1728,4297,1728,4297
tensor(1.0442),tensor(0.9310),tensor(1.0437),tensor(1.2020),tensor(1.8403),2304,3849,2304,3849
tensor(0.9363),tensor(1.0216),tensor(0.9373),tensor(0.7892),tensor(1.2096),1728,4233,1728,4233
tensor(0.9587),tensor(0.7891),tensor(0.9598),tensor(0.8438),tensor(1.2697),1856,4169,1856,4169
tensor(1.0613),tensor(0.7614),tensor(1.0605),tensor(0.9053),tensor(1.3471),1664,4361,1664,4361
tensor(0.9007),tensor(0.8517),tensor(0.9025),tensor(0.7846),tensor(1.1674),1728,4233,1728,4233
tensor(0.9735),tensor(0.9050),tensor(0.9795),tensor(1.0075),tensor(1.4889),2496,4105,2496,4105
tensor(1.2344),tensor(0.8380),tensor(1.2311),tensor(0.9489),tensor(1.5327),1472,4425,1472,4425
tensor(0.7075),tensor(1.4686),tensor(0.6998),tensor(1.0100),tensor(1.1889),4297,3081,4297,3081
tensor(0.8506),tensor(0.9460),tensor(0.8571),tensor(0.7666),tensor(1.1129),2112,3977,2112,3977
tensor(0.7498),tensor(1.2201),tensor(0.7454),tensor(1.1090),tensor(1.5417),3456,3401,3456,3401
tensor(0.6632),tensor(1.4108),tensor(0.6693),tensor(1.3871),tensor(0.4966),3657,3136,3657,3136
tensor(1.1049),tensor(0.8437),tensor(1.1135),tensor(0.9207),tensor(1.4704),1728,4233,1728,4233
tensor(1.0364),tensor(0.7718),tensor(1.0329),tensor(0.8199),tensor(1.2566),1344,4553,1344,4553
tensor(1.0669),tensor(1.2310),tensor(1.0750),tensor(1.5774),tensor(3.0198),3264,3529,3264,3529
tensor(2.6272),tensor(0.5503),tensor(2.6342),tensor(1.6094),tensor(3.0049),1024,4745,1024,4745
tensor(1.7942),tensor(1.5113),tensor(1.7847),tensor(1.5052),tensor(2.2480),1600,4297,1600,4297
tensor(1.6611),tensor(0.5925),tensor(1.6581),tensor(1.1064),tensor(1.9642),1024,4745,1024,4745
tensor(1.2071),tensor(1.1028),tensor(1.2136),tensor(1.0761),tensor(1.7374),1984,4169,1984,4169
tensor(0.8042),tensor(1.7235),tensor(0.8007),tensor(1.3586),tensor(1.9904),4096,3209,4096,3209
tensor(2.1675),tensor(4.9484),tensor(2.1162),tensor(5.3487),tensor(7.6700),3584,2633,3584,2633
tensor(6.2485),tensor(6.5278),tensor(6.2416),tensor(5.5748),tensor(7.9829),1536,4297,1536,4297
tensor(4.3984),tensor(6.6945),tensor(4.4166),tensor(9.4541),tensor(2.4636),2121,3712,2121,3712
tensor(2.1009),tensor(6.8739),tensor(2.0989),tensor(2.3753),tensor(3.8162),3200,2697,3200,2697
tensor(1.8345),tensor(1.2025),tensor(1.8368),tensor(1.1741),tensor(2.0593),1472,4361,1472,4361
tensor(1.7882),tensor(0.8556),tensor(1.7944),tensor(1.1993),tensor(2.0816),1024,4745,1024,4745
tensor(1.4149),tensor(0.7926),tensor(1.4144),tensor(0.9689),tensor(1.7002),1152,4681,1152,4681
tensor(0.9919),tensor(0.8678),tensor(0.9929),tensor(0.7851),tensor(1.1995),1280,4553,1280,4553
tensor(0.8885),tensor(0.7932),tensor(0.8883),tensor(0.7590),tensor(1.1158),1536,4425,1536,4425
