training_mean_discriminator_real_bce_loss,training_mean_discriminator_generated_bce_loss,training_mean_generator_bce_loss,testing_mean_discriminator_bce_loss,testing_mean_generator_bce_loss,num_discriminator_training_samples,num_generator_training_samples,num_discriminator_training_paused,num_generator_training_paused
tensor(6.9699),tensor(21.5852),tensor(6.8832),tensor(14.9854),tensor(21.2302),3840,1929,3840,1929
tensor(2.2629),tensor(25.5586),tensor(2.2694),tensor(14.6943),tensor(11.8972),4681,1152,4681,1152
tensor(4.4265),tensor(23.6142),tensor(4.3393),tensor(14.7377),tensor(17.5372),4288,1481,4288,1481
tensor(3.3287),tensor(24.7860),tensor(3.3587),tensor(14.9542),tensor(11.6766),4745,1024,4745,1024
tensor(5.9385),tensor(22.7243),tensor(5.9601),tensor(14.7810),tensor(16.3520),4041,1728,4041,1728
tensor(3.1914),tensor(24.9465),tensor(3.0985),tensor(14.8423),tensor(11.9075),4745,1024,4745,1024
tensor(3.7701),tensor(24.2624),tensor(3.8670),tensor(14.7002),tensor(17.0237),4480,1289,4480,1289
tensor(5.1991),tensor(22.9984),tensor(5.2329),tensor(16.0874),tensor(19.3137),4489,1344,4489,1344
tensor(5.8963),tensor(22.8601),tensor(5.7640),tensor(14.0251),tensor(4.3805),4361,1408,4361,1408
tensor(3.4241),tensor(23.6277),tensor(3.5262),tensor(12.9772),tensor(17.3009),4160,1609,4160,1609
tensor(3.8904),tensor(23.5190),tensor(3.9726),tensor(14.0242),tensor(8.6521),4297,1536,4297,1536
tensor(3.2385),tensor(24.7966),tensor(3.2130),tensor(15.7387),tensor(18.1293),4288,1481,4288,1481
tensor(5.1097),tensor(23.2483),tensor(5.1025),tensor(14.7603),tensor(16.7182),4105,1664,4105,1664
tensor(5.2077),tensor(22.5857),tensor(5.0606),tensor(12.7131),tensor(4.8100),4233,1545,4233,1545
tensor(4.1679),tensor(23.2880),tensor(4.1106),tensor(14.3899),tensor(19.9999),3904,1865,3904,1865
tensor(1.9147),tensor(25.8282),tensor(2.0053),tensor(15.5071),tensor(14.0290),4681,1152,4681,1152
tensor(5.4572),tensor(23.1904),tensor(5.4128),tensor(15.7164),tensor(20.3449),3904,1865,3904,1865
tensor(11.5021),tensor(19.8703),tensor(11.3052),tensor(21.6182),tensor(43.1628),3712,2057,3712,2057
tensor(5.4676),tensor(22.8634),tensor(5.4732),tensor(13.9980),tensor(17.2108),3776,1993,3776,1993
tensor(6.0729),tensor(22.7992),tensor(5.9444),tensor(17.3066),tensor(27.2071),3776,1993,3776,1993
tensor(2.6209),tensor(25.4452),tensor(2.6419),tensor(15.0284),tensor(18.1139),4480,1289,4480,1289
tensor(4.5898),tensor(23.6616),tensor(4.7651),tensor(14.9776),tensor(14.1899),3977,1856,3977,1856
tensor(10.6859),tensor(19.9385),tensor(10.6643),tensor(20.2973),tensor(40.4347),3712,2057,3712,2057
tensor(3.6378),tensor(24.7894),tensor(3.6348),tensor(14.2960),tensor(4.6478),4425,1408,4425,1408
tensor(7.7657),tensor(15.5405),tensor(7.7657),tensor(4.9122),tensor(8.9934),3520,2249,3520,2249
tensor(3.5070),tensor(12.6116),tensor(3.4659),tensor(9.0452),tensor(0.9859),3977,1984,3977,1984
tensor(3.1969),tensor(6.5177),tensor(3.2382),tensor(8.8408),tensor(10.8221),2560,3337,2560,3337
tensor(3.7151),tensor(4.2184),tensor(3.7515),tensor(2.5341),tensor(4.0843),2048,3913,2048,3913
tensor(2.8833),tensor(2.5696),tensor(2.8686),tensor(2.1345),tensor(3.6947),1408,4425,1408,4425
tensor(1.9027),tensor(0.8746),tensor(1.8963),tensor(1.2779),tensor(2.1289),1088,4745,1088,4745
tensor(1.2111),tensor(1.0041),tensor(1.2170),tensor(0.9069),tensor(1.4790),1216,4617,1216,4617
tensor(1.1777),tensor(0.8355),tensor(1.1757),tensor(0.9292),tensor(1.4437),1408,4553,1408,4553
tensor(1.0256),tensor(0.8411),tensor(1.0273),tensor(0.8490),tensor(1.3254),1664,4297,1664,4297
tensor(0.8547),tensor(1.0678),tensor(0.8571),tensor(1.9596),tensor(0.1411),3273,3465,3273,3465
tensor(1.0048),tensor(0.9687),tensor(1.0099),tensor(0.8557),tensor(1.4256),1984,3913,1984,3913
tensor(0.9875),tensor(0.8061),tensor(0.9870),tensor(0.8115),tensor(1.2327),1536,4425,1536,4425
tensor(0.9932),tensor(0.8149),tensor(0.9887),tensor(0.8429),tensor(0.2884),1737,4233,1737,4233
tensor(0.4599),tensor(1.0562),tensor(0.4602),tensor(0.7611),tensor(0.8791),4745,2953,4745,2953
tensor(0.4933),tensor(1.2304),tensor(0.4934),tensor(0.8237),tensor(0.6554),4553,2880,4553,2880
tensor(0.4841),tensor(1.0809),tensor(0.4831),tensor(0.7561),tensor(0.4830),4745,3136,4745,3136
tensor(0.4858),tensor(1.0244),tensor(0.4865),tensor(0.8563),tensor(0.2899),4745,3456,4745,3456
tensor(0.4608),tensor(1.0575),tensor(0.4598),tensor(0.7410),tensor(1.0127),4745,3145,4745,3145
tensor(0.5344),tensor(1.1604),tensor(0.5345),tensor(1.1107),tensor(0.2450),4745,3008,4745,3008
tensor(0.6447),tensor(1.1773),tensor(0.6464),tensor(1.0631),tensor(1.6036),4288,2953,4288,2953
tensor(0.7262),tensor(1.5664),tensor(0.7290),tensor(1.8174),tensor(2.5208),4032,2633,4032,2633
tensor(1.6849),tensor(0.8692),tensor(1.6839),tensor(1.1473),tensor(1.8339),1024,4745,1024,4745
