is_training,mse_kdiff[%],mse_Bleak[uT],mse_V_PriWind[cm3],mse_V_PriCore[cm3],mse_Pout[W]
0,38.90571594238281,721.2784423828125,1268.5406494140625,11892733.0,364772.125
0,38.90571594238281,725.415283203125,1268.5406494140625,11843873.0,367550.59375
0,38.90571594238281,725.1710815429688,1268.5406494140625,11860055.0,367584.84375
0,38.90571594238281,724.6532592773438,1268.5406494140625,11828735.0,366268.4375
0,38.90571594238281,722.8041381835938,1268.5406494140625,11875623.0,368883.09375
0,38.90571594238281,725.9887084960938,1268.5406494140625,11788535.0,369702.6875
0,38.90571594238281,827.8286743164062,1268.5406494140625,11851438.0,364520.0625
0,38.90570831298828,827.8286743164062,1268.5406494140625,11911942.0,368707.5625
0,46.97758102416992,774.612060546875,1268.5406494140625,11840047.0,369181.09375
0,45.26362991333008,781.4261474609375,1268.5406494140625,13856970.0,429983.3125
1,38.48759841918945,715.4304809570312,1224.5614013671875,11678075.0,368693.1875
1,38.73183059692383,721.973388671875,1232.4873046875,11707474.0,372174.6875
1,38.73183059692383,722.6654663085938,1232.4873046875,11735816.0,372069.875
1,38.74200439453125,722.740234375,1232.4873046875,11755884.0,371678.90625
1,38.73286056518555,720.7044677734375,1232.4873046875,11739548.0,371120.03125
1,38.73286056518555,721.8649291992188,1232.4873046875,11734555.0,371248.21875
1,38.73183059692383,774.6737670898438,1232.4873046875,11719848.0,371561.21875
1,38.73183059692383,845.8182983398438,1232.4873046875,11767912.0,371235.78125
1,45.81491470336914,817.875,1232.4873046875,11713028.0,373065.3125
1,46.43170166015625,762.7101440429688,1232.588134765625,12583544.0,420735.6875
