is_training,mse_kdiff[%],mse_Bleak[uT],mse_V_PriWind[cm3],mse_V_PriCore[cm3],mse_Pout[W]
0,45.12407302856445,781.4261474609375,1268.5406494140625,13750360.0,430511.0
0,44.786529541015625,781.4261474609375,1406.0096435546875,13835238.0,431196.0625
0,36.61548614501953,781.4261474609375,1407.8992919921875,13879221.0,429095.96875
0,45.8101692199707,614.4094848632812,1332.352294921875,13055271.0,386036.34375
0,44.244964599609375,619.7879638671875,999.4423828125,13088732.0,384708.78125
0,29.827655792236328,618.220703125,999.4423828125,13233329.0,383764.03125
0,37.34146499633789,793.5432739257812,1144.0814208984375,16838930.0,399403.40625
0,37.78094482421875,791.0181884765625,1137.8553466796875,16828148.0,399236.90625
0,38.202964782714844,802.4642333984375,1252.1986083984375,16520442.0,367460.15625
0,40.97210693359375,816.1220092773438,1374.2318115234375,13452093.0,399679.40625
1,45.088417053222656,804.9049682617188,1232.4873046875,13773184.0,431697.4375
1,44.954124450683594,804.9049682617188,1287.883544921875,13803969.0,431108.25
1,39.507652282714844,804.9304809570312,1396.174072265625,13797139.0,430620.21875
1,39.83091354370117,727.0281982421875,1416.814697265625,12693051.0,410097.4375
1,45.38898849487305,640.80859375,1163.9720458984375,13298021.0,389475.625
1,37.51456832885742,643.3507080078125,969.2928466796875,13370512.0,388808.03125
1,33.241912841796875,726.7307739257812,1063.1595458984375,16114859.0,393740.125
1,37.600990295410156,791.4778442382812,1139.7791748046875,17039404.0,384095.25
1,38.19028091430664,792.743896484375,1261.62744140625,17064952.0,377057.25
1,40.56781005859375,762.0048828125,1301.1431884765625,13211681.0,391599.0625
