is_training,mse_Iin[A],mse_Iout[A],mse_l[mm],mse_p1[mm],mse_p2[mm],mse_p3[mm],mse_win[mm]
0,318.8944091796875,318.88116455078125,176415.578125,1641.5572509765625,1662.01025390625,1635.1593017578125,84610.2421875
0,318.8944091796875,319.72210693359375,176842.71875,1641.5572509765625,1662.01025390625,1638.6181640625,84610.2421875
0,318.8944091796875,319.4067687988281,177133.0625,1641.5572509765625,1662.01025390625,1629.49267578125,84610.2421875
0,318.8944091796875,319.3016357421875,175987.484375,1641.5572509765625,1662.01025390625,1637.4403076171875,84610.2421875
0,318.8944091796875,323.2960205078125,173789.453125,1641.5572509765625,1662.01025390625,1633.24560546875,84610.2421875
0,318.8944091796875,317.9350891113281,219528.640625,1641.5572509765625,1662.01025390625,1703.384033203125,48562.53515625
0,318.8944091796875,323.9131164550781,220409.53125,1641.5572509765625,1662.01025390625,1695.656005859375,48693.40625
0,318.88885498046875,358.7195739746094,72748.4296875,1643.0745849609375,1662.01025390625,1711.966064453125,84473.6953125
0,319.3148193359375,356.40716552734375,73513.046875,1576.8563232421875,1661.9722900390625,1702.1776123046875,84387.6640625
0,319.9458312988281,359.4480895996094,131253.25,1523.9425048828125,1716.9266357421875,1731.78662109375,78573.0390625
0,316.5816955566406,355.7764587402344,174026.453125,1611.033935546875,1776.593505859375,1739.8529052734375,84610.2421875
0,316.68682861328125,338.95806884765625,175558.046875,1617.5574951171875,1766.216552734375,1764.517822265625,84367.1171875
0,302.90362548828125,343.16278076171875,175965.046875,1617.5574951171875,1706.251708984375,1768.71240234375,84245.546875
0,303.2314758300781,306.5824890136719,178407.0625,1619.7381591796875,1768.9151611328125,1684.664306640625,46224.19140625
0,303.2314758300781,305.8465270996094,178407.0625,1619.7381591796875,1648.6488037109375,1707.60888671875,86620.6640625
0,302.7704162597656,296.80645751953125,178607.0625,1619.7381591796875,1650.6490478515625,1724.889892578125,86620.6640625
0,307.9620056152344,324.24212646484375,223662.328125,1690.6727294921875,1684.5430908203125,1708.6927490234375,38424.62890625
0,302.9163818359375,320.1425476074219,184372.1875,1623.0374755859375,1705.3052978515625,1697.53173828125,38345.94921875
0,301.5498046875,278.0954895019531,185772.625,1619.5595703125,1637.4522705078125,1874.8604736328125,38804.125
0,304.2828674316406,273.1549377441406,184903.78125,1627.822021484375,1651.482666015625,1858.595947265625,38200.10546875
0,306.67730712890625,248.8358154296875,180219.21875,1648.2269287109375,1643.24267578125,1862.28271484375,36655.453125
0,304.7031555175781,145.22482299804688,182420.09375,1643.296142578125,1692.1083984375,1738.72900390625,87228.4765625
0,305.2396545410156,139.4418182373047,184323.96875,1641.5572509765625,1741.3052978515625,1740.7906494140625,91705.8671875
0,303.7572326660156,199.13201904296875,185174.9375,1608.58056640625,1727.650390625,1811.6820068359375,124984.765625
0,306.5955810546875,331.1800231933594,185009.109375,1613.3836669921875,1730.2254638671875,1808.8358154296875,125095.4765625
0,315.95086669921875,335.5947265625,184124.859375,1673.8504638671875,1662.01025390625,1758.6788330078125,146606.515625
0,317.2342834472656,284.5206298828125,130886.8671875,1774.4302978515625,1657.1524658203125,1662.515625,131894.03125
0,311.6411437988281,334.1230773925781,161954.484375,1636.0731201171875,1795.2850341796875,1858.97119140625,140856.25
0,311.0105285644531,355.146728515625,126394.1953125,1647.377197265625,1711.5186767578125,1754.153076171875,128413.2109375
0,317.2299499511719,353.0721130371094,145913.109375,1856.728515625,1785.1572265625,1795.959716796875,127869.59375
0,305.9777526855469,266.9429931640625,138554.078125,1586.4951171875,1688.8546142578125,1763.9722900390625,147404.15625
0,304.1778259277344,303.0082092285156,193925.28125,1561.15869140625,1717.6707763671875,1679.0638427734375,64186.67578125
0,316.3714599609375,301.4291687011719,194332.28125,1558.9873046875,1722.455078125,1534.7978515625,63642.484375
0,317.63287353515625,292.60174560546875,193784.59375,1561.4407958984375,1735.9398193359375,1524.6787109375,64745.8515625
0,320.2467346191406,296.28076171875,199275.9375,1597.9061279296875,1707.091064453125,1735.5162353515625,84943.234375
0,318.8944091796875,289.65814208984375,179731.171875,1514.306884765625,1617.468994140625,1713.438720703125,72567.5625
0,318.8944091796875,289.65814208984375,180007.046875,1510.6873779296875,1621.6650390625,1714.322509765625,73280.1328125
