is_training,mse_Iin[A],mse_Iout[A],mse_l[mm],mse_p1[mm],mse_p2[mm],mse_p3[mm],mse_win[mm]
0,305.01861572265625,365.7628479003906,169415.15625,1570.6373291015625,1713.0977783203125,1579.2852783203125,89307.2890625
0,310.2746276855469,365.7628479003906,168559.921875,1571.0697021484375,1689.5333251953125,1586.203369140625,89283.0234375
0,300.2884521484375,365.34136962890625,168050.28125,1569.731689453125,1711.8809814453125,1576.1932373046875,88411.5
0,305.9718017578125,198.2051239013672,164215.890625,1548.764892578125,1707.9803466796875,1571.490478515625,78563.234375
0,304.1775817871094,209.45272827148438,79554.390625,1523.6383056640625,1727.2696533203125,1696.0736083984375,43078.65625
0,302.9161071777344,226.05809020996094,79989.046875,1529.5792236328125,1717.4080810546875,1697.32470703125,44211.98828125
0,316.4766540527344,244.77272033691406,80009.65625,1505.7880859375,1727.0484619140625,1701.0777587890625,44107.2578125
0,312.7972106933594,297.0167236328125,92199.5625,1576.4298095703125,1770.949951171875,1571.9813232421875,74175.203125
0,306.4931335449219,293.7581481933594,98214.8984375,1559.941162109375,1774.85205078125,1655.464599609375,74104.1796875
0,319.4200134277344,295.32012939453125,86096.46875,1576.767578125,1782.7767333984375,1622.2908935546875,77998.0546875
0,313.5292663574219,243.6781768798828,121076.578125,1578.823486328125,1709.6988525390625,1594.0142822265625,84789.0390625
0,318.7892761230469,372.3787536621094,193397.609375,1646.0875244140625,1648.61279296875,1684.1334228515625,138991.046875
0,317.73809814453125,372.066650390625,193694.0625,1656.5123291015625,1657.7381591796875,1697.1591796875,138888.171875
0,315.7405090332031,361.4529724121094,192473.015625,1643.61572265625,1657.518310546875,1702.5296630859375,139849.453125
0,316.8971862792969,363.5552062988281,192152.078125,1663.2506103515625,1734.041748046875,1734.7618408203125,28417.796875
0,316.79180908203125,374.802490234375,206652.171875,1738.1815185546875,1748.170166015625,1607.666259765625,28006.3203125
0,311.1939697265625,315.20196533203125,161985.15625,1836.1942138671875,1742.557373046875,1653.3145751953125,32502.001953125
0,318.2594909667969,269.0365295410156,175515.171875,1763.6409912109375,1786.22998046875,1640.6475830078125,25242.22265625
0,305.4044494628906,217.33705139160156,66580.0078125,1674.02734375,1621.5391845703125,1670.759765625,34164.75
0,305.01873779296875,217.5472869873047,67337.5,1687.740478515625,1623.3050537109375,1659.5992431640625,34338.6796875
0,314.2689514160156,148.25392150878906,136109.5,1635.9544677734375,1681.8197021484375,1709.6812744140625,29120.4375
0,301.7601013183594,299.8527526855469,215048.90625,1542.2225341796875,1755.12451171875,1709.09765625,36269.1796875
0,309.1180419921875,233.8402862548828,90337.671875,1525.7198486328125,1670.46240234375,1679.9903564453125,122775.0
0,308.80267333984375,235.2068328857422,90565.296875,1531.3599853515625,1730.7611083984375,1687.5704345703125,122064.3046875
0,308.38232421875,235.20668029785156,90337.671875,1528.756103515625,1730.377685546875,1687.5704345703125,122693.421875
0,309.99969482421875,301.9931945800781,98374.8984375,1498.886962890625,1694.81640625,1674.610595703125,64700.44140625
0,311.9026794433594,262.01214599609375,104810.34375,1649.5982666015625,1615.6024169921875,1629.077880859375,74274.265625
0,309.53900146484375,257.650634765625,177753.484375,1627.218017578125,1692.7445068359375,1599.9130859375,23706.865234375
0,317.5277404785156,281.9845275878906,186814.265625,1698.16455078125,1608.7386474609375,1630.36474609375,40348.41015625
0,315.74072265625,281.87835693359375,186531.359375,1710.601318359375,1602.30078125,1638.1654052734375,40488.484375
0,315.530517578125,279.0412292480469,183545.9375,1666.616455078125,1761.1796875,1630.770751953125,45067.9453125
0,315.7406921386719,276.3082275390625,175412.4375,1679.8157958984375,1612.3931884765625,1647.4866943359375,147807.078125
0,316.47650146484375,276.3082275390625,177399.640625,1675.9051513671875,1612.3931884765625,1651.386962890625,147945.484375
0,314.8999328613281,276.4133605957031,178185.59375,1673.72802734375,1612.3931884765625,1648.4432373046875,147981.015625
0,315.9412841796875,329.2877197265625,169417.390625,1625.6419677734375,1632.04345703125,1635.8995361328125,148102.578125
0,305.3339538574219,332.7566833496094,176265.875,1622.3419189453125,1621.3719482421875,1776.56982421875,147494.75
0,304.59814453125,300.6955871582031,167358.5625,1622.3421630859375,1595.1341552734375,1778.0751953125,147297.3125
0,302.4877624511719,382.6864318847656,155890.375,1783.4315185546875,1638.79296875,1711.66796875,94810.4609375
0,307.7516784667969,174.97323608398438,183316.75,1657.7779541015625,1615.780029296875,1757.5137939453125,136271.09375
0,304.3877868652344,298.2779846191406,183891.078125,1547.4273681640625,1650.6141357421875,1687.030517578125,127490.9453125
0,305.2287902832031,298.2779846191406,186884.96875,1556.1224365234375,1650.835205078125,1686.5155029296875,127490.9453125
0,302.8110656738281,303.9542541503906,184111.703125,1556.5548095703125,1648.9215087890625,1687.29736328125,127210.5078125
0,302.8110046386719,295.6053466796875,179165.328125,1574.8590087890625,1647.08203125,1680.5546875,130161.3828125
0,305.2503662109375,302.83746337890625,169428.734375,1573.3331298828125,1646.491455078125,1684.234375,126518.390625
0,313.4060974121094,362.0434265136719,147006.875,1680.0660400390625,1684.169921875,1589.4486083984375,38342.46484375
0,318.27618408203125,365.0223083496094,147269.140625,1689.343994140625,1682.2982177734375,1588.4185791015625,39421.578125
0,312.79730224609375,388.993408203125,145702.0,1685.267578125,1676.180419921875,1620.648193359375,38895.984375
0,312.6919250488281,393.3028869628906,146006.40625,1666.3212890625,1663.2999267578125,1633.529052734375,40150.81640625
0,311.71038818359375,384.2202453613281,158440.375,1701.3905029296875,1708.8658447265625,1600.43994140625,42638.0234375
0,305.5442199707031,270.26141357421875,179066.34375,1553.123291015625,1655.751220703125,1682.7490234375,41414.56640625
