training_mean_discriminator_real_bce_loss,training_mean_discriminator_generated_bce_loss,training_mean_generator_bce_loss,testing_mean_discriminator_real_bce_loss,testing_mean_discriminator_generated_bce_loss,testing_mean_generator_bce_loss,num_training_samples,num_discriminator_training_paused,num_generator_training_paused
tensor(2.6636),tensor(0.5447),tensor(2.6636),tensor(3.9013),tensor(0.1630),tensor(3.9013),4745,3081,384
tensor(0.4313),tensor(25.3007),tensor(0.4313),tensor(0.),tensor(27.6314),tensor(0.),4745,0,3721
tensor(6.3978),tensor(20.6492),tensor(6.3978),tensor(27.6314),tensor(0.),tensor(27.6314),4745,1097,2560
tensor(27.7979),tensor(0.0291),tensor(27.7979),tensor(27.7335),tensor(1.8838e-10),tensor(27.7335),4745,3721,0
tensor(26.7259),tensor(1.0203),tensor(26.7259),tensor(27.4916),tensor(0.1397),tensor(27.4916),4745,3721,0
tensor(27.3761),tensor(0.2562),tensor(27.3761),tensor(27.4916),tensor(0.1397),tensor(27.4916),4745,3721,0
tensor(27.3761),tensor(0.2562),tensor(27.3761),tensor(27.4916),tensor(0.1397),tensor(27.4916),4745,3721,0
tensor(27.3761),tensor(0.2562),tensor(27.3761),tensor(27.4916),tensor(0.1397),tensor(27.4916),4745,3721,0
tensor(27.3761),tensor(0.2562),tensor(27.3761),tensor(27.4916),tensor(0.1397),tensor(27.4916),4745,3721,0
tensor(27.3819),tensor(0.2504),tensor(27.3819),tensor(27.4916),tensor(0.1397),tensor(27.4916),4745,3721,0
