training_mean_discriminator_real_bce_loss,training_mean_discriminator_generated_bce_loss,training_mean_generator_bce_loss,testing_mean_discriminator_bce_loss,testing_mean_generator_bce_loss,num_discriminator_training_samples,num_generator_training_samples,num_discriminator_training_paused,num_generator_training_paused
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.8631),tensor(0.),tensor(27.8631),tensor(13.9851),tensor(27.9702),1024,4745,1024,4745
tensor(29.9949),tensor(0.),tensor(29.9949),tensor(15.1470),tensor(30.2939),1024,4745,1024,4745
tensor(35.3578),tensor(0.),tensor(35.3578),tensor(17.9292),tensor(35.8584),1024,4745,1024,4745
tensor(14.7546),tensor(0.1169),tensor(14.7546),tensor(4.5177),tensor(9.0249),1024,4745,1024,4745
tensor(4.9224),tensor(22.3990),tensor(4.9224),tensor(13.8157),tensor(20.9066),3712,2057,3712,2057
tensor(21.4186),tensor(6.2133),tensor(21.4186),tensor(13.8157),tensor(22.0245),1024,4745,1024,4745
tensor(22.9327),tensor(4.6993),tensor(22.9327),tensor(13.8157),tensor(23.6838),1024,4745,1024,4745
tensor(22.8279),tensor(4.8041),tensor(22.8279),tensor(13.8157),tensor(23.2122),1024,4745,1024,4745
tensor(22.0650),tensor(5.5669),tensor(22.0650),tensor(13.8157),tensor(22.4262),1024,4745,1024,4745
tensor(20.9061),tensor(6.7257),tensor(20.9061),tensor(13.8157),tensor(21.1860),1024,4745,1024,4745
tensor(19.5026),tensor(8.1292),tensor(19.5026),tensor(13.8157),tensor(20.0682),1024,4745,1024,4745
tensor(18.2564),tensor(9.3755),tensor(18.2564),tensor(13.8157),tensor(18.8631),1024,4745,1024,4745
tensor(16.6724),tensor(10.9595),tensor(16.6724),tensor(13.8157),tensor(16.8370),1216,4553,1216,4553
tensor(7.4863),tensor(19.7915),tensor(7.4863),tensor(13.8157),tensor(0.),4553,1344,4553,1344
tensor(0.0088),tensor(27.1217),tensor(0.0088),tensor(13.8157),tensor(0.),4745,1088,4745,1088
tensor(2.0500),tensor(25.4006),tensor(2.0500),tensor(15.1958),tensor(16.4672),4224,1609,4224,1609
tensor(22.5842),tensor(5.1098),tensor(22.5842),tensor(13.8157),tensor(27.5615),1024,4745,1024,4745
tensor(27.5624),tensor(0.0699),tensor(27.5624),tensor(13.8157),tensor(27.5790),1024,4745,1024,4745
tensor(27.5799),tensor(0.0524),tensor(27.5799),tensor(13.8157),tensor(27.5964),1024,4745,1024,4745
tensor(27.6032),tensor(0.0291),tensor(27.6032),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6032),tensor(0.0291),tensor(27.6032),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6090),tensor(0.0233),tensor(27.6090),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6090),tensor(0.0233),tensor(27.6090),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6207),tensor(0.0116),tensor(27.6207),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6207),tensor(0.0116),tensor(27.6207),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6265),tensor(0.0058),tensor(27.6265),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6265),tensor(0.0058),tensor(27.6265),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6265),tensor(0.0058),tensor(27.6265),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6265),tensor(0.0004),tensor(27.6265),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(63.1870),tensor(7.8277e-05),tensor(63.1870),tensor(34.9321),tensor(69.8643),1024,4745,1024,4745
tensor(44.8619),tensor(1.0049e-10),tensor(44.8619),tensor(20.3941),tensor(40.7881),1024,4745,1024,4745
tensor(3.6763),tensor(24.4410),tensor(3.6763),tensor(13.8157),tensor(26.4785),4544,1225,4544,1225
tensor(27.5508),tensor(0.0815),tensor(27.5508),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6265),tensor(0.0058),tensor(27.6265),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6207),tensor(0.0116),tensor(27.6207),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.5974),tensor(0.0349),tensor(27.5974),tensor(13.8157),tensor(27.6139),1024,4745,1024,4745
tensor(27.5450),tensor(0.0873),tensor(27.5450),tensor(13.8157),tensor(27.5266),1024,4745,1024,4745
tensor(27.2538),tensor(0.3785),tensor(27.2538),tensor(13.8157),tensor(27.2122),1024,4745,1024,4745
tensor(26.2987),tensor(1.3335),tensor(26.2987),tensor(13.8157),tensor(26.2864),1024,4745,1024,4745
tensor(24.6448),tensor(2.9873),tensor(24.6448),tensor(13.8157),tensor(24.6270),1024,4745,1024,4745
tensor(22.2921),tensor(5.3398),tensor(22.2921),tensor(13.8157),tensor(22.0594),1024,4745,1024,4745
tensor(11.4753),tensor(15.8025),tensor(11.4753),tensor(13.8157),tensor(27.6314),3584,2377,3584,2377
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6741),tensor(0.),tensor(27.6741),tensor(13.8551),tensor(27.7101),1024,4745,1024,4745
tensor(29.1684),tensor(0.),tensor(29.1684),tensor(14.6985),tensor(29.3970),1024,4745,1024,4745
tensor(16.9146),tensor(11.1747),tensor(16.9146),tensor(13.9108),tensor(27.7987),2560,3209,2560,3209
tensor(3.8391),tensor(16.8866),tensor(3.8391),tensor(3.4784),tensor(6.9303),3200,2569,3200,2569
tensor(14.7725),tensor(12.5970),tensor(14.7725),tensor(13.8157),tensor(16.4528),1792,4105,1792,4105
tensor(15.6358),tensor(11.9961),tensor(15.6358),tensor(13.8282),tensor(12.2511),1929,3968,1929,3968
tensor(5.2623),tensor(14.4829),tensor(5.2623),tensor(0.8908),tensor(1.4611),3328,2441,3328,2441
tensor(0.1529),tensor(24.9911),tensor(0.1529),tensor(13.8157),tensor(27.6314),4736,1033,4736,1033
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(62.2534),tensor(0.),tensor(62.2534),tensor(34.7152),tensor(69.4303),1024,4745,1024,4745
tensor(58.8445),tensor(0.),tensor(58.8445),tensor(28.3621),tensor(56.7241),1024,4745,1024,4745
tensor(32.4065),tensor(0.),tensor(32.4065),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
tensor(27.6323),tensor(0.),tensor(27.6323),tensor(13.8157),tensor(27.6314),1024,4745,1024,4745
